wind_speed_mps,direction,wind_x_mps,roof_pitch_deg,diameter_in,vx_impact_mps,vz_impact_mps,V_impact_mps,vn_M3_mps,vt_M3_mps,vn_M4_mps,vt_M4_mps,Fn_M3_N,Fn_M4_N,Fn_evidence
20.0,with_pitch_downhill,-20.0,15.0,3.25,-19.999635675830124,-29.731738603695447,35.83241141151976,23.542367569768455,27.01330481030275,23.973147382435233,27.128731913222445,8101.969773192274,8291.723970002316,published_analytical_application
20.0,with_pitch_downhill,-20.0,30.0,1.0,-19.999999999756977,-19.490052330723035,27.926011885777772,6.878880439615771,27.065534240839824,7.030790363571217,27.15323947632808,nan,nan,not_evaluated_beyond_sun_application_range
20.0,with_pitch_downhill,-20.0,30.0,1.25,-19.999999979732678,-21.493763456532918,29.35952769910812,8.614145186424796,28.067389786403215,8.794088127844004,28.17127989207037,nan,nan,not_evaluated_beyond_sun_application_range
20.0,with_pitch_downhill,-20.0,30.0,1.5,-19.999999632063307,-23.19756253839068,30.628857193912395,10.089678648092907,28.91928902624159,10.297265295662704,29.039139233096186,798.1543139741774,815.5655331135769,published_analytical_application
20.0,with_pitch_downhill,-20.0,30.0,1.75,-19.99999721446507,-24.658360571089652,31.74956117228204,11.354768063007667,29.649685948889584,11.589670496380306,29.78530693203058,1182.553845450991,1208.7845207140185,published_analytical_application
20.0,with_pitch_downhill,-20.0,30.0,2.0,-19.9999878478427,-25.912438412402025,32.733071630850404,12.440836015218515,30.276716757812853,12.702653178118462,30.427876967291603,1646.2249260295218,1683.8300122389078,published_analytical_application
20.0,with_pitch_downhill,-20.0,30.0,2.5,-19.999915838000092,-27.891703855807897,34.321185549266445,14.154966174961976,31.266287117162765,14.46898018818348,31.44758319222552,2801.1063338824965,2870.257370348277,published_analytical_application
20.0,with_pitch_downhill,-20.0,30.0,3.0,-19.999743578657412,-29.257873491433845,35.4402723529715,15.338189914964316,31.94922275400894,15.701360353371946,32.1588993043853,4221.273648915447,4335.039161952024,published_analytical_application
20.0,with_pitch_downhill,-20.0,30.0,3.25,-19.999635675830124,-29.731738603695447,35.83241141151976,15.748623091563674,32.18606186355017,16.134849705505854,32.409049903077886,5008.187652681102,5149.357061784581,published_analytical_application
20.0,with_pitch_downhill,-20.0,45.0,1.0,-19.999999999756977,-19.490052330723035,27.926011885777772,0.36058745482417154,27.92368379229404,0.23655352130555862,28.047717725812653,nan,nan,not_evaluated_beyond_sun_application_range
20.0,with_pitch_downhill,-20.0,45.0,1.25,-19.999999979732678,-21.493763456532918,29.35952769910812,1.0562502839342451,29.34052150273382,1.203173080365107,29.487444299164686,nan,nan,not_evaluated_beyond_sun_application_range
20.0,with_pitch_downhill,-20.0,45.0,1.5,-19.999999632063307,-23.19756253839068,30.628857193912395,2.2610184143346537,30.54528914145549,2.4305122023216432,30.714782929442478,nan,nan,not_evaluated_beyond_sun_application_range
20.0,with_pitch_downhill,-20.0,45.0,1.75,-19.99999721446507,-24.658360571089652,31.74956117228204,3.2939603187001736,31.578227626820794,3.485757352400537,31.770024660521155,nan,nan,not_evaluated_beyond_sun_application_range
20.0,with_pitch_downhill,-20.0,45.0,2.0,-19.9999878478427,-25.912438412402025,32.733071630850404,4.180733887630133,32.464987949346366,4.394506705966136,32.67876076768237,nan,nan,not_evaluated_beyond_sun_application_range
20.0,with_pitch_downhill,-20.0,45.0,2.5,-19.999915838000092,-27.891703855807897,34.321185549266445,5.580336823078643,33.864489047498836,5.836728191237396,34.12088041565759,nan,nan,not_evaluated_beyond_sun_application_range
20.0,with_pitch_downhill,-20.0,45.0,3.0,-19.999743578657412,-29.257873491433845,35.4402723529715,6.546486442430238,34.830395055351765,6.843013863684091,35.12692247660562,nan,nan,not_evaluated_beyond_sun_application_range
20.0,with_pitch_downhill,-20.0,45.0,3.25,-19.999635675830124,-29.731738603695447,35.83241141151976,6.881635975499027,35.16539199077879,7.196988685246109,35.48074470052587,nan,nan,not_evaluated_beyond_sun_application_range
33.3,against_pitch_uphill,33.3,15.0,1.0,33.29999999970427,-19.490052229461178,38.584350919607665,27.444619005996785,27.120933308112924,27.61405250923422,27.075533737749677,1164.5549978739343,1173.4261278953863,published_analytical_application
33.3,against_pitch_uphill,33.3,15.0,1.25,33.299999974898874,-21.493763339655814,39.634225876499684,29.38005530933602,26.602334687950865,29.580755580564272,26.548557212354545,1907.6860395220049,1925.0268489057285,published_analytical_application
33.3,against_pitch_uphill,33.3,15.0,1.5,33.299999537869134,-23.197562290674195,40.58345556321928,31.025798605817275,26.1613586482633,31.25733142351872,26.09931961673889,2870.133894993789,2900.7389356066956,published_analytical_application
33.3,against_pitch_uphill,33.3,15.0,1.75,33.29999646136896,-24.65836023699487,41.43578759845884,32.43682027290161,25.783273347037888,32.69881988975699,25.713070761284225,4066.818446306941,4117.0240250441675,published_analytical_application
33.3,against_pitch_uphill,33.3,15.0,2.0,33.29998441848453,-25.912438683449906,42.194116186914776,33.64816391559715,25.458682328509642,33.940183019137294,25.380436045541597,5508.762448625981,5586.61272886039,published_analytical_application
33.3,against_pitch_uphill,33.3,15.0,2.5,33.29989058827994,-27.891703564366868,43.43765464333831,35.55996269609785,24.946320249007865,35.91019981465412,24.85247449593131,9145.562219681533,9309.876268051572,published_analytical_application
33.3,against_pitch_uphill,33.3,15.0,3.0,33.29966365215674,-29.257873494274904,44.32708834058202,36.87952277910484,24.59251024883897,37.284586769495625,24.483973679730827,13740.819033872547,14042.619606561319,published_analytical_application
33.3,against_pitch_uphill,33.3,15.0,3.25,33.299520680258425,-29.731738427600337,44.641173231247016,37.337204152526425,24.469726879039097,37.76798396264178,24.354299776803057,16346.04891674817,16736.98366900238,published_analytical_application
33.3,against_pitch_uphill,33.3,30.0,1.0,33.29999999970427,-19.490052229461178,38.584350919607665,33.52888035165105,19.093619831035113,33.680790274817234,19.005914596002537,1524.2367347091392,1534.6585100402883,published_analytical_application
33.3,against_pitch_uphill,33.3,30.0,1.25,33.299999974898874,-21.493763339655814,39.634225876499684,35.264145062522026,18.091764254455693,35.44408800296275,17.987874149353463,2494.0351065946998,2515.3805476085636,published_analytical_application
